Pays,Année,Primes Emises (mn USD),Croissance Primes (%),Taux Penetration (%),Ratio S/P (%),Densite Assurance (USD/hab)
CAPE VERDE,2019,24.43,3.04,1.08,30.67,44.42
CAPE VERDE,2020,23.36,-4.35,1.28,35.53,42.02
CAPE VERDE,2021,25.75,10.2,1.25,32.5,43.79
CAPE VERDE,2022,26.23,1.88,1.17,32.75,44.22
CAPE VERDE,2023,29.73,13.35,1.17,34.65,49.66
CAPE VERDE,2024,32.37,8.86,1.16,31.66,53.55
CONGO,2015,136.57,15.25,1.15,20.25,28.12
CONGO,2016,88.76,-35.01,0.81,28.45,17.82
CONGO,2017,81.12,-8.61,0.69,28.2,15.87
CONGO,2018,82.47,1.67,0.56,13.32,15.73
CONGO,2019,79.4,-3.73,0.57,15.48,14.76
CONGO,2020,78.32,-1.36,0.68,13.2,14.19
CONGO,2021,87.06,11.16,0.65,13.7,14.78
CONGO,2022,85.32,-2.0,0.61,15.72,14.14
CONGO,2023,124.73,46.19,0.88,11.81,20.17
CONGO,2024,89.59,24.23,0.6,20.0,13.41
IVORY COAST,2015,193.89,-2.31,0.42,30.78,7.68
IVORY COAST,2016,210.04,8.33,0.43,29.86,8.08
IVORY COAST,2017,214.91,2.32,0.41,34.68,8.04
IVORY COAST,2018,249.08,15.9,0.43,39.2,9.07
IVORY COAST,2019,257.69,3.46,0.43,36.99,9.14
IVORY COAST,2020,275.59,6.95,0.44,38.63,9.53
IVORY COAST,2021,324.03,17.58,0.45,33.48,10.93
IVORY COAST,2022,337.97,4.3,0.48,31.96,11.12
IVORY COAST,2023,402.26,19.02,0.51,32.86,12.91
IVORY COAST,2024,417.64,3.82,0.48,52.8,13.08
GABON,2015,131.43,-16.87,0.91,22.48,67.48
GABON,2016,108.87,-17.16,0.78,26.55,54.22
GABON,2017,96.96,-10.94,0.65,43.51,46.96
GABON,2018,98.24,1.31,0.58,26.98,46.36
GABON,2019,99.85,1.64,0.59,22.61,45.96
GABON,2020,103.52,3.68,0.67,22.92,46.51
GABON,2021,102.01,-1.46,0.52,20.36,42.92
GABON,2022,98.93,-3.03,0.48,25.89,40.7
GABON,2023,111.59,12.8,0.56,24.89,44.91
GABON,2024,114.52,2.63,0.57,55.5,45.11
GHANA,2015,230.11,1.1,0.47,37.0,8.02
GHANA,2016,273.69,18.94,0.49,39.0,9.32
GHANA,2017,273.36,-0.12,0.45,37.0,9.11
GHANA,2018,283.14,3.58,0.42,42.0,9.24
GHANA,2019,300.46,6.12,0.44,29.0,9.61
GHANA,2020,345.8,15.09,0.49,32.0,10.84
GHANA,2021,406.5,17.55,0.51,29.0,12.5
GHANA,2022,373.77,-8.05,0.5,29.0,11.28
GHANA,2023,368.94,-1.29,0.46,35.14,10.92
GHANA,2024,350.77,-4.92,0.43,35.78,10.19
KENYA,2015,798.42,-2.46,1.14,58.53,16.68
KENYA,2016,791.61,-0.85,1.06,58.6,16.14
KENYA,2017,813.61,2.78,0.99,56.87,16.2
KENYA,2018,842.98,3.61,0.91,57.85,16.4
KENYA,2019,846.65,0.44,0.84,61.55,16.1
KENYA,2020,800.58,-5.44,0.8,61.24,14.89
KENYA,2021,910.37,13.71,0.83,65.27,17.11
KENYA,2022,949.6,4.31,0.83,63.23,17.5
KENYA,2023,894.3,-5.82,0.83,60.96,16.16
KENYA,2024,956.91,7.0,0.8,64.31,16.96
MADAGASCAR,2015,45.55,-6.94,0.4,14.59,1.79
MADAGASCAR,2016,49.92,9.6,0.42,18.12,1.91
MADAGASCAR,2017,50.67,1.5,0.38,20.0,1.89
MADAGASCAR,2018,49.44,-2.41,0.36,20.0,1.8
MADAGASCAR,2019,46.2,-6.55,0.33,20.0,1.64
MADAGASCAR,2020,53.13,15.0,0.41,20.0,1.84
MADAGASCAR,2021,60.98,14.77,0.42,20.0,2.05
MADAGASCAR,2022,62.25,2.09,0.41,20.0,2.05
MADAGASCAR,2023,63.57,2.11,0.4,20.0,2.04
MADAGASCAR,2024,64.64,8.04,0.4,28.16,2.04
MALAWI,2015,55.45,-2.38,0.62,77.73,3.31
MALAWI,2016,43.91,-20.82,0.57,86.06,2.55
MALAWI,2017,51.31,16.86,0.57,72.3,2.9
MALAWI,2018,59.56,16.08,0.6,60.01,3.28
MALAWI,2019,68.22,14.54,0.62,79.51,3.66
MALAWI,2020,72.85,6.79,0.62,68.09,3.81
MALAWI,2021,72.49,-0.49,0.59,73.86,3.62
MALAWI,2022,69.28,-4.43,0.56,57.77,3.37
MALAWI,2023,66.48,-4.04,0.53,54.16,3.15
MALAWI,2024,51.16,-23.05,0.47,69.11,2.36
MALI,2015,40.23,-3.62,0.26,20.71,2.22
MALI,2016,45.65,13.48,0.27,30.0,2.44
MALI,2017,52.8,15.65,0.29,30.02,2.73
MALI,2018,55.18,4.51,0.27,20.86,2.77
MALI,2019,53.25,-3.49,0.26,34.75,2.59
MALI,2020,57.19,7.4,0.28,23.79,2.69
MALI,2021,70.11,22.59,0.3,34.22,3.2
MALI,2022,68.36,-2.5,0.3,22.17,3.03
MALI,2023,76.76,12.29,0.31,36.18,3.3
MALI,2024,78.63,10.07,0.31,32.22,3.35
MOROCCO,2015,1675.58,-9.96,1.52,56.64,48.34
MOROCCO,2016,1736.85,3.66,1.56,66.68,49.45
MOROCCO,2017,1845.99,6.28,1.56,63.53,51.88
MOROCCO,2018,2019.61,9.41,1.59,70.12,56.05
MOROCCO,2019,2065.23,2.26,1.6,64.11,56.63
MOROCCO,2020,2092.15,1.3,1.72,61.96,56.68
MOROCCO,2021,2381.5,13.83,1.68,64.42,64.44
MOROCCO,2022,2248.22,-5.6,1.72,61.97,60.23
MOROCCO,2023,2387.46,6.19,1.65,75.75,63.31
MOROCCO,2024,2560.66,7.25,1.75,67.41,67.24
MAURITIUS,2015,163.39,-9.55,1.36,56.36,129.38
MAURITIUS,2016,166.23,1.74,1.32,57.62,131.54
MAURITIUS,2017,187.49,12.79,1.37,57.72,148.23
MAURITIUS,2018,198.85,6.06,1.35,59.57,157.13
MAURITIUS,2019,206.97,4.08,1.43,60.68,163.49
MAURITIUS,2020,200.62,-3.07,1.76,57.46,158.47
MAURITIUS,2021,200.13,-0.24,1.74,54.63,158.04
MAURITIUS,2022,224.44,12.15,1.74,61.02,177.77
MAURITIUS,2023,258.38,15.12,1.83,55.42,204.9
MAURITIUS,2024,291.2,12.7,1.95,53.91,231.2
MAURITANIE,2015,30.0,7.14,4.86,54.8,7.41
MAURITANIE,2016,23.0,-23.33,3.59,54.0,5.52
MAURITANIE,2017,9.9,-4.41,2.5,52.59,5.2
MAURITANIE,2018,11.33,14.5,0.15,50.05,2.57
MAURITANIE,2019,17.77,56.82,0.22,50.62,3.93
MAURITANIE,2020,18.7,5.18,0.22,50.21,4.02
MAURITANIE,2021,20.39,9.08,0.2,49.42,4.42
MAURITANIE,2022,31.85,56.2,0.29,50.01,6.73
MAURITANIE,2023,22.12,46.03,0.01,48.09,4.31
MAURITANIE,2024,22.51,52.9,0.01,47.34,4.16
MOZAMBIQUE,2015,167.65,-15.86,1.03,40.94,6.2
MOZAMBIQUE,2016,123.05,-26.6,1.02,53.02,4.42
MOZAMBIQUE,2017,144.31,17.28,1.09,51.14,5.04
MOZAMBIQUE,2018,140.18,-2.87,0.93,44.39,4.76
MOZAMBIQUE,2019,152.92,9.09,0.99,49.75,5.05
MOZAMBIQUE,2020,151.69,-0.8,1.07,47.43,4.87
MOZAMBIQUE,2021,184.0,21.3,1.14,60.38,5.74
MOZAMBIQUE,2022,185.62,0.88,0.98,49.35,5.63
MOZAMBIQUE,2023,191.31,3.07,0.91,44.52,5.64
MOZAMBIQUE,2024,209.7,9.61,0.92,44.58,6.02
NAMIBIA,2015,200.13,-13.85,1.77,32.27,86.45
NAMIBIA,2016,173.25,-13.43,1.62,30.92,73.47
NAMIBIA,2017,200.56,15.76,1.56,28.17,83.47
NAMIBIA,2018,201.05,0.25,1.47,10.7,82.12
NAMIBIA,2019,202.57,0.76,1.62,16.38,81.21
NAMIBIA,2020,189.82,-6.3,1.79,25.9,74.7
NAMIBIA,2021,221.8,16.85,1.79,18.42,78.92
NAMIBIA,2022,191.7,-13.57,1.53,7.66,66.34
NAMIBIA,2023,199.35,3.99,1.61,9.63,67.28
NAMIBIA,2024,302.46,51.73,2.26,15.67,99.82
NIGER,2015,32.08,-4.98,0.33,35.63,1.6
NIGER,2016,30.92,-3.61,0.3,28.85,1.49
NIGER,2017,28.38,-8.21,0.25,28.6,1.31
NIGER,2018,31.96,12.61,0.25,26.13,1.42
NIGER,2019,33.92,6.14,0.26,24.34,1.46
NIGER,2020,34.03,0.31,0.25,27.33,1.41
NIGER,2021,39.86,17.15,0.27,20.21,1.63
NIGER,2022,35.62,-10.64,0.23,23.09,1.41
NIGER,2023,36.4,2.19,0.22,28.9,1.39
NIGER,2024,38.39,5.05,0.21,22.03,1.42
NIGERIA,2015,969.67,-16.39,0.2,32.17,5.35
NIGERIA,2016,727.87,-24.94,0.18,38.42,3.91
NIGERIA,2017,662.98,-8.91,0.18,54.1,3.47
NIGERIA,2018,801.78,20.93,0.19,49.09,4.09
NIGERIA,2019,841.04,4.9,0.18,34.01,4.19
NIGERIA,2020,772.05,-8.2,0.18,43.4,3.75
NIGERIA,2021,829.46,7.44,0.19,44.31,3.8
NIGERIA,2022,1068.77,28.85,0.22,33.58,4.79
NIGERIA,2023,874.63,-18.16,0.24,64.46,3.84
NIGERIA,2024,739.1,-15.5,0.29,57.2,3.18
UGANDA,2015,131.72,13.71,0.42,46.96,3.45
UGANDA,2016,101.2,-23.17,0.32,35.35,2.55
UGANDA,2017,103.03,1.8,0.31,38.14,2.5
UGANDA,2018,113.85,10.5,0.32,31.99,2.66
UGANDA,2019,120.69,6.01,0.32,36.9,2.73
UGANDA,2020,122.52,1.52,0.31,32.52,2.68
UGANDA,2021,145.23,18.53,0.32,39.09,3.16
UGANDA,2022,173.57,19.51,0.35,40.45,3.67
UGANDA,2023,153.43,-11.6,0.3,45.75,3.15
UGANDA,2024,174.27,13.58,0.31,42.83,3.48
ZAIRE,2015,85.78,-7.92,0.21,15.36,1.13
ZAIRE,2016,60.87,15.6,0.21,14.54,1.09
ZAIRE,2017,88.34,39.12,0.23,13.72,1.28
ZAIRE,2018,65.48,62.65,0.26,12.9,1.47
ZAIRE,2019,121.91,86.17,0.24,12.08,1.4
ZAIRE,2020,141.29,15.9,0.28,13.26,1.58
ZAIRE,2021,196.36,38.98,0.34,12.46,1.98
ZAIRE,2022,250.75,27.7,0.38,13.54,2.45
ZAIRE,2023,263.68,5.15,0.38,15.87,2.49
ZAIRE,2024,295.58,12.1,0.4,15.23,2.7
SENEGAL,2015,111.36,-0.71,0.63,34.96,7.64
SENEGAL,2016,118.14,6.09,0.62,40.37,7.88
SENEGAL,2017,132.08,11.8,0.63,41.49,8.57
SENEGAL,2018,146.86,11.19,0.64,35.12,9.26
SENEGAL,2019,152.66,3.95,0.65,46.12,9.37
SENEGAL,2020,168.35,10.27,0.69,33.23,10.05
SENEGAL,2021,189.81,12.75,0.69,32.62,11.03
SENEGAL,2022,183.8,-3.16,0.67,21.79,10.4
SENEGAL,2023,198.79,8.15,0.65,26.43,10.95
SENEGAL,2024,208.64,4.95,0.64,26.18,11.18
"TANZANIA,UNITED REP.",2015,224.44,-7.71,0.47,46.33,4.49
"TANZANIA,UNITED REP.",2016,214.23,-4.55,0.43,44.22,4.16
"TANZANIA,UNITED REP.",2017,191.12,-10.79,0.36,45.02,3.6
"TANZANIA,UNITED REP.",2018,203.1,6.27,0.37,40.87,3.71
"TANZANIA,UNITED REP.",2019,245.98,21.11,0.42,30.24,4.37
"TANZANIA,UNITED REP.",2020,240.74,-2.13,0.38,36.3,4.15
"TANZANIA,UNITED REP.",2021,265.16,10.14,0.39,17.95,4.44
"TANZANIA,UNITED REP.",2022,328.2,23.77,0.44,16.03,5.34
"TANZANIA,UNITED REP.",2023,330.68,0.76,0.42,38.62,5.22
"TANZANIA,UNITED REP.",2024,356.82,7.91,0.45,36.93,5.47
CHAD,2015,18.17,-10.37,0.13,24.46,1.29
CHAD,2016,15.87,-12.67,0.12,32.68,1.09
CHAD,2017,14.37,-9.44,0.11,21.28,0.96
CHAD,2018,15.2,5.78,0.1,18.39,0.98
CHAD,2019,14.76,-2.89,0.1,20.08,0.93
CHAD,2020,15.48,4.87,0.11,21.74,0.94
CHAD,2021,13.83,-10.69,0.09,30.09,0.78
CHAD,2022,18.1,30.89,0.11,19.51,0.98
CHAD,2023,21.12,16.68,0.12,22.32,1.09
CHAD,2024,17.8,20.97,0.1,21.14,0.88
TOGO,2015,30.4,-8.88,0.73,35.61,4.07
TOGO,2016,30.93,1.76,0.51,29.4,4.04
TOGO,2017,33.58,8.57,0.53,55.69,4.28
TOGO,2018,31.83,-5.23,0.45,31.56,3.95
TOGO,2019,30.35,-4.64,0.42,40.71,3.68
TOGO,2020,37.42,23.31,0.49,35.99,4.43
TOGO,2021,42.87,14.55,0.51,53.56,4.96
TOGO,2022,41.19,-3.92,0.51,68.25,4.65
TOGO,2023,43.95,6.72,0.48,43.32,4.85
TOGO,2024,47.89,8.95,0.49,49.1,5.15
TUNISIE,2015,643.27,4.8,1.41,58.5,57.54
TUNISIE,2016,625.07,-2.83,1.41,59.43,55.3
TUNISIE,2017,600.89,-3.87,1.43,74.42,52.56
TUNISIE,2018,527.67,-12.19,1.24,56.25,45.63
TUNISIE,2019,513.6,-2.67,1.23,61.58,43.92
TUNISIE,2020,550.11,7.11,1.29,54.15,46.55
TUNISIE,2021,600.69,9.19,1.28,54.77,49.86
TUNISIE,2022,579.97,-3.45,1.29,55.91,47.86
TUNISIE,2023,625.21,7.8,1.3,53.85,51.24
TUNISIE,2024,667.04,6.69,1.29,54.48,54.33
ZAMBIA,2015,146.43,-18.75,0.69,31.9,9.01
ZAMBIA,2016,142.3,-2.82,0.68,43.3,8.49
ZAMBIA,2017,188.84,32.71,0.73,37.46,10.92
ZAMBIA,2018,182.4,-3.41,0.69,37.99,10.23
ZAMBIA,2019,177.82,-2.51,0.76,49.59,9.67
ZAMBIA,2020,162.11,-8.84,0.89,20.01,8.56
ZAMBIA,2021,161.49,-0.38,0.73,20.76,8.29
ZAMBIA,2022,212.83,31.8,0.73,20.36,10.63
ZAMBIA,2023,231.67,8.85,0.84,19.03,11.26
ZAMBIA,2024,229.5,-0.94,0.9,18.21,10.86
EGYPT,2015,999.24,6.95,0.31,46.6,10.81
EGYPT,2016,838.57,-16.08,0.31,51.81,8.88
EGYPT,2017,656.09,-21.76,0.34,38.32,6.8
EGYPT,2018,812.28,23.81,0.33,39.44,8.25
EGYPT,2019,959.47,18.12,0.3,47.87,9.56
EGYPT,2020,1091.68,13.78,0.27,37.04,10.67
EGYPT,2021,1194.68,9.43,0.26,34.48,10.77
EGYPT,2022,1114.36,-6.72,0.24,33.68,9.9
EGYPT,2023,914.2,-17.96,0.23,26.95,7.98
EGYPT,2024,922.75,0.94,0.26,28.82,7.92
ETHIOPIA,2015,254.75,10.43,0.4,62.84,2.53
ETHIOPIA,2016,271.91,6.73,0.38,70.09,2.62
ETHIOPIA,2017,287.98,5.91,0.38,66.21,2.71
ETHIOPIA,2018,183.55,-36.26,0.23,56.92,1.68
ETHIOPIA,2019,169.77,-7.51,0.18,55.79,1.51
ETHIOPIA,2020,155.36,-8.49,0.16,52.47,1.35
ETHIOPIA,2021,286.42,84.36,0.29,51.41,2.35
ETHIOPIA,2022,286.7,0.1,0.24,50.78,2.29
ETHIOPIA,2023,380.78,32.82,0.24,50.21,2.96
ETHIOPIA,2024,296.12,30.98,0.17,45.54,2.2
